representation,model,n_test,b_bin_only_correct,c_mc8_only_correct,mcnemar_statistic,p_value,winner,significant_p_lt_0_05
bow,complementnb,16627,343,486,24.323281061519904,8.144868043966576e-07,mc8,True
bow,lightgbm,16627,162,313,47.36842105263158,5.8822723238732975e-12,mc8,True
bow,linearsvc,16627,157,228,12.727272727272727,0.0003603616646814442,mc8,True
bow,logreg,16627,212,366,40.5,1.9661604415428878e-10,mc8,True
bow,multinomialnb,16627,293,468,39.78449408672799,2.835876050008958e-10,mc8,True
fasttext,lightgbm,16627,156,285,37.151927437641724,1.0927468405910238e-09,mc8,True
fasttext,linearsvc,16627,105,163,12.123134328358208,0.0004980012952958118,mc8,True
fasttext,logreg,16627,140,235,23.562666666666665,1.2091083101794334e-06,mc8,True
tfidf,complementnb,16627,370,352,0.4002770083102493,0.5269462329286844,binary,False
tfidf,lightgbm,16627,141,298,55.43507972665148,9.65971201650677e-14,mc8,True
tfidf,linearsvc,16627,102,256,65.38826815642459,6.150394362561122e-16,mc8,True
tfidf,logreg,16627,107,256,60.34159779614325,7.974422520537114e-15,mc8,True
tfidf,multinomialnb,16627,467,560,8.241480038948394,0.004094373246557357,mc8,True
