representation,model,f1_minority_bin,pr_auc_bin,precision_minority_bin,recall_minority_bin,latency_ms_per_1k_bin,threshold_bin,run_dir_bin,f1_minority_mc8,pr_auc_mc8,precision_minority_mc8,recall_minority_mc8,latency_ms_per_1k_mc8,threshold_mc8,run_dir_mc8,delta_f1_minority,delta_pr_auc
bow,complementnb,0.7181818181818181,0.6546265929301305,0.6110215920077344,0.8709232889297198,0.6439865278738685,0.93,artifacts/runs/20260422-061926__gen1__complementnb__bow-aggr-bin,0.7058823529411765,0.6801426341666443,0.6736227045075125,0.7413872301332108,0.9911733428923593,0.82,artifacts/runs/20260421-231854__gen1__complementnb__bow-aggr-mc8,-0.012299465240641627,0.025516041236513853
bow,lightgbm,0.782708668659462,0.8769991462601736,0.783609576427256,0.7818098300413413,6.77639057525303,0.34,artifacts/runs/20260422-062011__gen1__lightgbm__bow-aggr-bin,0.8197093551316984,0.9092400225953262,0.8105074090704985,0.8291226458429031,25.486356086525525,0.34,artifacts/runs/20260421-232023__gen1__lightgbm__bow-aggr-mc8,0.03700068647223642,0.0322408763351526
bow,linearsvc,0.7900274473924978,0.858068208393836,0.7867881548974943,0.7932935231970601,1.0543740494482057,0.31,artifacts/runs/20260422-061858__gen1__linearsvc__bow-aggr-bin,0.806134126802472,0.8785651771319247,0.8033759124087592,0.8089113458888378,3.0430479611900867,0.34,artifacts/runs/20260421-231710__gen1__linearsvc__bow-aggr-mc8,0.016106679409974234,0.020496968738088706
bow,logreg,0.7859327217125383,0.8586565352591463,0.749271137026239,0.8263665594855305,0.32329537150729487,0.2,artifacts/runs/20260422-061925__gen1__logreg__bow-aggr-bin,0.8067384183434722,0.8692273380543148,0.8221268478779208,0.7919154800183739,0.9145187713082867,0.49,artifacts/runs/20260421-231853__gen1__logreg__bow-aggr-mc8,0.0208056966309339,0.010570802795168532
bow,multinomialnb,0.7216890595009597,0.6586467944157367,0.6198483349818661,0.8635737253100597,0.6396738520135453,0.95,artifacts/runs/20260422-061926__gen1__multinomialnb__bow-aggr-bin,0.7152110788474425,0.6889337821070344,0.6960869565217391,0.735415709692237,1.0020558050571327,0.95,artifacts/runs/20260421-231853__gen1__multinomialnb__bow-aggr-mc8,-0.006477980653517235,0.030286987691297673
fasttext,lightgbm,0.7642658687753794,0.8475098386803414,0.7146282973621103,0.8213137344970143,1.4814972158677386,0.27,artifacts/runs/20260422-062955__gen1__lightgbm__fasttext-aggr-bin,0.7806306306306307,0.8613433116973181,0.7657976137870084,0.7960496095544327,13.484561822452036,0.35,artifacts/runs/20260422-060000__gen1__lightgbm__fasttext-aggr-mc8,0.016364761855251264,0.013833473016976794
fasttext,linearsvc,0.734307470672978,0.78796214639804,0.6651752423564504,0.8194763435920992,3.020927788480532,0.22,artifacts/runs/20260422-062946__gen1__linearsvc__fasttext-aggr-bin,0.7454057402436506,0.8063504139332055,0.6770442610652663,0.8291226458429031,4.029620501977893,0.28,artifacts/runs/20260422-055901__gen1__linearsvc__fasttext-aggr-mc8,0.011098269570672614,0.018388267535165537
fasttext,logreg,0.7039128680919726,0.7447988371712618,0.6274721323265012,0.8015617822691777,0.8024521882960131,0.22,artifacts/runs/20260422-062948__gen1__logreg__fasttext-aggr-bin,0.7193950541590026,0.7817881908233798,0.6480117820324006,0.808451998162609,1.0850495782382024,0.24,artifacts/runs/20260422-055922__gen1__logreg__fasttext-aggr-mc8,0.015482186067030002,0.03698935365211797
tfidf,complementnb,0.7137349397590361,0.7804333603106863,0.7506335529650279,0.6802939825447865,2.7050349682337633,0.05,artifacts/runs/20260422-060321__gen1__complementnb__tfidf-aggr-bin,0.7459983150800337,0.7862280275880071,0.6888370283936212,0.8135048231511254,7.398723549503156,0.23,artifacts/runs/20260421-220850__gen1__complementnb__tfidf-aggr-mc8,0.032263375320997545,0.0057946672773208086
tfidf,lightgbm,0.7991858887381276,0.8854712599016554,0.7870824053452116,0.8116674322462104,89.01116322355819,0.33,artifacts/runs/20260422-060940__gen1__lightgbm__tfidf-aggr-bin,0.8334472544998861,0.9131858799847113,0.8268535262206148,0.8401469912723932,152.1273507574145,0.36,artifacts/runs/20260421-223035__gen1__lightgbm__tfidf-aggr-mc8,0.03426136576175853,0.02771462008305592
tfidf,linearsvc,0.8284775465498357,0.9175679328937318,0.7918760469011725,0.868626550298576,3.9884120114140416,0.28,artifacts/runs/20260422-060309__gen1__linearsvc__tfidf-aggr-bin,0.8535506402793946,0.9320163746287301,0.8654390934844193,0.8419843821773082,16.089766241542936,0.43,artifacts/runs/20260421-220340__gen1__linearsvc__tfidf-aggr-mc8,0.025073093729558904,0.014448441734998263
tfidf,logreg,0.7966364239876079,0.8849571573569551,0.7685738684884714,0.8268259072117593,1.2317955211919058,0.31,artifacts/runs/20260422-060320__gen1__logreg__tfidf-aggr-bin,0.8303217276333187,0.9161393888589155,0.7979669631512071,0.8654111162149747,6.158768157623588,0.3,artifacts/runs/20260421-220846__gen1__logreg__tfidf-aggr-mc8,0.03368530364571076,0.031182231501960422
tfidf,multinomialnb,0.624503686897334,0.7804333603106863,0.816160118606375,0.5057418465778595,2.694152805367408,0.05,artifacts/runs/20260422-060321__gen1__multinomialnb__tfidf-aggr-bin,0.72939107496153,0.7859074444570595,0.6994097807757167,0.7620578778135049,7.394599844325178,0.18,artifacts/runs/20260421-220848__gen1__multinomialnb__tfidf-aggr-mc8,0.10488738806419595,0.0054740841463731815
