run_id,model,representation,preprocess,target_mode,target_tag,collapse_scheme,num_classes,threshold,pr_auc,roc_auc,f1_macro,f1_minority,precision_minority,recall_minority,latency_ms_per_1k,n_test,run_dir
20260422-061926__gen1__complementnb__bow-aggr-bin,complementnb,bow,aggressive,binary,bin,,2,0.93,0.6546265929301305,0.9381663442755577,0.8324947841177197,0.7181818181818181,0.6110215920077344,0.8709232889297198,0.6439865278738685,16627,artifacts/runs/20260422-061926__gen1__complementnb__bow-aggr-bin
20260421-231854__gen1__complementnb__bow-aggr-mc8,complementnb,bow,aggressive,multiclass,mc8,top7_plus_other,8,0.82,0.6801426341666443,0.9189512090063944,0.829493597934275,0.7058823529411765,0.6736227045075125,0.7413872301332108,0.9911733428923593,16627,artifacts/runs/20260421-231854__gen1__complementnb__bow-aggr-mc8
20260422-062011__gen1__lightgbm__bow-aggr-bin,lightgbm,bow,aggressive,binary,bin,,2,0.34,0.8769991462601736,0.9739688915096965,0.8750076815015007,0.782708668659462,0.783609576427256,0.7818098300413413,6.77639057525303,16627,artifacts/runs/20260422-062011__gen1__lightgbm__bow-aggr-bin
20260421-232023__gen1__lightgbm__bow-aggr-mc8,lightgbm,bow,aggressive,multiclass,mc8,top7_plus_other,8,0.34,0.9092400225953262,0.9801221483486529,0.8960938456767678,0.8197093551316984,0.8105074090704985,0.8291226458429031,25.486356086525525,16627,artifacts/runs/20260421-232023__gen1__lightgbm__bow-aggr-mc8
20260422-061858__gen1__linearsvc__bow-aggr-bin,linearsvc,bow,aggressive,binary,bin,,2,0.31,0.858068208393836,0.9574635263600428,0.8791214724671097,0.7900274473924978,0.7867881548974943,0.7932935231970601,1.0543740494482057,16627,artifacts/runs/20260422-061858__gen1__linearsvc__bow-aggr-bin
20260421-231710__gen1__linearsvc__bow-aggr-mc8,linearsvc,bow,aggressive,multiclass,mc8,top7_plus_other,8,0.34,0.8785651771319247,0.9652129291285269,0.8884054743411702,0.806134126802472,0.8033759124087592,0.8089113458888378,3.0430479611900867,16627,artifacts/runs/20260421-231710__gen1__linearsvc__bow-aggr-mc8
20260422-061925__gen1__logreg__bow-aggr-bin,logreg,bow,aggressive,binary,bin,,2,0.2,0.8586565352591463,0.9576946625065763,0.8758789009594914,0.7859327217125383,0.749271137026239,0.8263665594855305,0.32329537150729487,16627,artifacts/runs/20260422-061925__gen1__logreg__bow-aggr-bin
20260421-231853__gen1__logreg__bow-aggr-mc8,logreg,bow,aggressive,multiclass,mc8,top7_plus_other,8,0.49,0.8692273380543148,0.9635412530815239,0.8891180014422675,0.8067384183434722,0.8221268478779208,0.7919154800183739,0.9145187713082867,16627,artifacts/runs/20260421-231853__gen1__logreg__bow-aggr-mc8
20260422-061926__gen1__multinomialnb__bow-aggr-bin,multinomialnb,bow,aggressive,binary,bin,,2,0.95,0.6586467944157367,0.9386463388078895,0.8349922975439472,0.7216890595009597,0.6198483349818661,0.8635737253100597,0.6396738520135453,16627,artifacts/runs/20260422-061926__gen1__multinomialnb__bow-aggr-bin
20260421-231853__gen1__multinomialnb__bow-aggr-mc8,multinomialnb,bow,aggressive,multiclass,mc8,top7_plus_other,8,0.95,0.6889337821070344,0.9301066036401321,0.8354524310385525,0.7152110788474425,0.6960869565217391,0.735415709692237,1.0020558050571327,16627,artifacts/runs/20260421-231853__gen1__multinomialnb__bow-aggr-mc8
