run_id,model,variant,target_mode,target_tag,collapse_scheme,num_classes,hf_id,bucket,max_length,epochs,threshold,pr_auc,roc_auc,f1_macro,f1_minority,precision_minority,recall_minority,latency_ms_per_1k,vram_peak_mb,run_dir
20260422-140951__gen2__bertimbau-base__raw-ml256-bin,bertimbau-base,raw-ml256-bin,binary,bin,,2,neuralmind/bert-base-portuguese-cased,ptbr,256,3,0.05,0.9422614053305629,0.9887713481458404,0.928237705429934,0.8754270097927579,0.8681120144534779,0.8828663298116675,4115.715401532833,3099.20361328125,artifacts/runs/20260422-140951__gen2__bertimbau-base__raw-ml256-bin
20260422-155027__gen2__bertimbau-base__raw-ml256-mc8,bertimbau-base,raw-ml256-mc8,multiclass,mc8,top7_plus_other,8,neuralmind/bert-base-portuguese-cased,ptbr,256,3,0.16,0.9464388370174336,0.9866129224528851,0.9324951970781346,0.8830409356725146,0.8651388276773909,0.9016995865870464,4110.912522783079,3099.25634765625,artifacts/runs/20260422-155027__gen2__bertimbau-base__raw-ml256-mc8
20260423-002306__gen2__deb3rta-base__raw-ml256-bin,deb3rta-base,raw-ml256-bin,binary,bin,,2,higopires/DeB3RTa-base,domain,256,3,0.13,0.8448075303826372,0.9659242346456267,0.8670033303824205,0.7702493930699624,0.7412914188615123,0.8015617822691777,9293.9370474224,9186.6591796875,artifacts/runs/20260423-002306__gen2__deb3rta-base__raw-ml256-bin
20260423-043911__gen2__deb3rta-base__raw-ml256-mc8,deb3rta-base,raw-ml256-mc8,multiclass,mc8,top7_plus_other,8,higopires/DeB3RTa-base,domain,256,3,0.31,0.8743111322333352,0.9736640054168063,0.8790436017720791,0.7907287720080232,0.767965367965368,0.8148828663298117,9613.985845338519,9186.7646484375,artifacts/runs/20260423-043911__gen2__deb3rta-base__raw-ml256-mc8
20260423-092121__gen2__distilbertimbau__raw-ml256-bin,distilbertimbau,raw-ml256-bin,binary,bin,,2,adalbertojunior/distilbert-portuguese-cased,efficiency,256,3,0.18,0.9278434487640211,0.9856231632051345,0.9163526207754787,0.8550169109357384,0.8396811337466785,0.8709232889297198,2699.0767444466433,2564.01708984375,artifacts/runs/20260423-092121__gen2__distilbertimbau__raw-ml256-bin
20260423-100643__gen2__distilbertimbau__raw-ml256-mc8,distilbertimbau,raw-ml256-mc8,multiclass,mc8,top7_plus_other,8,adalbertojunior/distilbert-portuguese-cased,efficiency,256,3,0.18,0.9391883941113917,0.9873577333335454,0.9250057203981565,0.8704480247186052,0.8377230246389125,0.9058337161231051,2691.365497515205,2564.06982421875,artifacts/runs/20260423-100643__gen2__distilbertimbau__raw-ml256-mc8
20260422-174234__gen2__finbert-ptbr__raw-ml256-bin,finbert-ptbr,raw-ml256-bin,binary,bin,,2,lucas-leme/FinBERT-PT-BR,domain,256,3,0.21,0.940193222595643,0.9882529209906018,0.92267285826286,0.8654646324549237,0.8711028385295486,0.8598989435002297,3956.351321777135,3101.57861328125,artifacts/runs/20260422-174234__gen2__finbert-ptbr__raw-ml256-bin
20260422-192000__gen2__finbert-ptbr__raw-ml256-mc8,finbert-ptbr,raw-ml256-mc8,multiclass,mc8,top7_plus_other,8,lucas-leme/FinBERT-PT-BR,domain,256,3,0.3,0.9462346846141908,0.9875971663490438,0.9315987197925445,0.8814095324147279,0.8671111111111112,0.8961874138723014,4033.6591796298976,3101.63134765625,artifacts/runs/20260422-192000__gen2__finbert-ptbr__raw-ml256-mc8
20260423-063656__gen2__xlmr-base__raw-ml256-bin,xlmr-base,raw-ml256-bin,binary,bin,,2,FacebookAI/xlm-roberta-base,multilingual,256,3,0.06,0.9336652059787998,0.9864388153596978,0.9179039450296906,0.8577847674679847,0.8394898856640282,0.8768948093706936,4198.761616190606,5029.60205078125,artifacts/runs/20260423-063656__gen2__xlmr-base__raw-ml256-bin
20260423-083608__gen2__xlmr-base__raw-ml256-mc8,xlmr-base,raw-ml256-mc8,multiclass,mc8,top7_plus_other,8,FacebookAI/xlm-roberta-base,multilingual,256,3,0.28,0.9436011309132184,0.987524258805092,0.9266352186548921,0.8729232150875618,0.8537549407114624,0.8929719797887,4203.020198311251,5029.65478515625,artifacts/runs/20260423-083608__gen2__xlmr-base__raw-ml256-mc8
